lacu:Cornwall,E06000052,569578
lacu:Isles of Scilly,E06000053,2224
lacu:North Somerset,E06000024,215052
lacu:Plymouth,E06000026,262100
"lacu:Bournemouth, Christchurch and Poole",E06000058,395331
lacu:South Gloucestershire,E06000025,285093
lacu:Swindon,E06000030,222193
lacu:Torbay,E06000027,136264
lacu:Wiltshire,E06000054,500024
lacu:Devon,E10000008,802375
lacu:Dorset,E06000059,378508
lacu:Gloucestershire,E10000013,637070
lacu:Somerset,E10000027,562225
lacu:Isle of Anglesey,W06000001,70043
lacu:Gwynedd,W06000002,124560
lacu:Conwy,W06000003,117203
lacu:Denbighshire,W06000004,95696
lacu:Flintshire,W06000005,156100
lacu:Wrexham,W06000006,135957
lacu:Powys,W06000023,132435
lacu:Ceredigion,W06000008,72695
lacu:Pembrokeshire,W06000009,125818
lacu:Carmarthenshire,W06000010,188771
lacu:Swansea,W06000011,246993
lacu:Neath Port Talbot,W06000012,143315
lacu:Bridgend,W06000013,147049
lacu:Vale of Glamorgan,W06000014,133587
lacu:Cardiff,W06000015,366903
lacu:Rhondda Cynon Taff,W06000016,241264
lacu:Merthyr Tydfil,W06000024,60326
lacu:Caerphilly,W06000018,181075
lacu:Blaenau Gwent,W06000019,69862
lacu:Torfaen,W06000020,93961
lacu:Monmouthshire,W06000021,94590
lacu:Newport,W06000022,154676
lacu:Aberdeen City,S12000033,228670
lacu:Aberdeenshire,S12000034,261210
lacu:Angus,S12000041,116200
lacu:Argyll and Bute,S12000035,85870
lacu:Clackmannanshire,S12000005,51540
lacu:Dumfries and Galloway,S12000006,148860
lacu:Dundee City,S12000042,149320
lacu:East Ayrshire,S12000008,122010
lacu:East Dunbartonshire,S12000045,108640
lacu:East Lothian,S12000010,107090
lacu:East Renfrewshire,S12000011,95530
lacu:City of Edinburgh,S12000036,524930
lacu:Na h-Eileanan Siar,S12000013,26720
lacu:Falkirk,S12000014,160890
lacu:Fife,S12000047,373550
lacu:Glasgow City,S12000049,633120
lacu:Highland,S12000017,235830
lacu:Inverclyde,S12000018,77800
lacu:Midlothian,S12000019,92460
lacu:Moray,S12000020,95820
lacu:North Ayrshire,S12000021,134740
lacu:North Lanarkshire,S12000050,341370
lacu:Orkney Islands,S12000023,22270
lacu:Perth and Kinross,S12000048,151950
lacu:Renfrewshire,S12000038,179100
lacu:Scottish Borders,S12000026,115510
lacu:Shetland Islands,S12000027,22920
lacu:South Ayrshire,S12000028,112610
lacu:South Lanarkshire,S12000029,320530
lacu:Stirling,S12000030,94210
lacu:West Dunbartonshire,S12000039,88930
lacu:West Lothian,S12000040,183100
lacu:Antrim and Newtownabbey,N09000001,143504
"lacu:Armagh City, Banbridge and Craigavon",N09000002,216205
lacu:Belfast,N09000003,343542
lacu:Causeway Coast and Glens,N09000004,144838
lacu:Derry City and Strabane,N09000005,151284
lacu:Fermanagh and Omagh,N09000006,117397
lacu:Lisburn and Castlereagh,N09000007,146002
lacu:Mid and East Antrim,N09000008,139274
lacu:Mid Ulster,N09000009,148528
"lacu:Newry, Mourne and Down",N09000010,181368
lacu:Ards and North Down,N09000011,161725
mcounty:Greater Manchester (Met County),E11000001,2835686
mcounty:Inner London,E13000001,3632835
mcounty:Merseyside (Met County),E11000002,1429910
mcounty:Outer London,E13000002,5329154
mcounty:South Yorkshire (Met County),E11000003,1409020
mcounty:Tyne and Wear (Met County),E11000007,1141469
mcounty:West Midlands (Met County),E11000005,2928592
mcounty:West Yorkshire (Met County),E11000006,2332469
