years_after_2002,region,walk,walk_1_mile_plus,bicycle,car_driver,car_passenger,motorcycle,other_private_transport,bus_in_london,other_local_bus,non_local_bus,london_underground,surface_rail,taxi,other_public_transport,all_modes,all_modes_excl_short_walk,wnweighted_sample,year
2,East of England,308.181080060603,180.70392356706097,78.99113541660226,6998.795280880853,3975.010413370002,37.32490819908929,320.19565625429664,11.463150331598824,243.28872261881133,116.1699848885492,111.53941648185496,850.9697529833222,73.5415014076391,67.56833886465802,13193.039341757883,13065.56218526433,6082.58,2004
2,London,379.09450876373,189.04188013591084,74.06528263035072,3052.1687955014986,2027.3780162610324,74.87512206086421,117.65869353145204,722.4785508419949,88.7043797903304,77.09597652010925,680.5550457756499,1194.5594025482546,103.03399963451686,213.46960890096184,8805.137382760751,8615.08475413294,7447.860000000001,2004
2,South East,356.71510758957305,205.6567543819946,70.11598200597297,7151.72989405043,3630.102139296581,108.90917116366641,247.39848487268264,7.404834988066265,242.56148193084064,56.64434313162469,53.58543169015479,1007.8569536019289,86.04265100448995,48.078413933344265,13067.144889259349,12916.086536051766,8302.77,2004
2,South West,338.63967723925555,178.1939305293693,68.69158969277662,7341.156807899748,4117.48316319239,86.20240231356894,281.2441178616499,0.6456203826797389,325.1055229322707,109.60502876377701,9.056852351037659,534.7490697662561,57.534346234247316,117.05333780472353,13387.167536434386,13226.721789724494,5728.38,2004
3,North East,307.406006326408,174.15415614934577,38.53320010281429,5159.646735723083,2681.833000864094,22.259983378143875,240.44506858728735,0.043144365989336554,521.0789778792005,214.12731085410087,0.1752940836961765,420.78219192143695,98.2854615194525,300.3806693824944,10004.997044988188,9871.74519481114,3021.9700000000003,2005
3,North West,363.10636244512796,213.83764318043717,54.009055828147716,5674.27711031652,3117.8797330578645,47.96639601094615,223.16644769166408,1.4675573347599251,413.3879018721025,71.8618781213144,4.1161415960388945,485.0101603546188,97.91593052084652,37.35430218961792,10591.518977339565,10442.250258074868,7428.540000000001,2005
3,Yorkshire and The Humber,343.373566002096,202.24088685519797,57.808267546348645,5962.122108759771,3435.370524344263,57.59860601159823,335.7500017201845,1.3019777715836414,456.11845227223534,226.1933823150389,7.94216477622788,554.0574467788099,90.9430766436256,59.420770635324665,11588.000345577113,11446.867666430206,5562.55,2005
3,East Midlands,353.17376616795883,210.4655467757144,84.61761700426052,6203.721717289813,3413.204948376635,86.23276127405046,305.2555899796981,0,359.1503254077941,152.67327494926565,10.11134983662742,391.89881024775616,83.17275881801578,36.860246654146614,11480.073166006017,11337.364946613765,4657.7300000000005,2005
3,West Midlands,299.9147610676905,155.3271136319842,27.915011507700427,6012.627233021019,3344.444940018547,53.28184011524185,194.9712622113282,0.6175679845653902,464.19040597048314,175.5135756759024,6.432646372177604,360.0377862490781,71.02787999592282,64.04059486615307,11075.015505055799,10930.427857620094,5890.990000000001,2005
3,East of England,323.9903140479564,170.13489927221397,73.60590543930353,6920.86453301894,4008.7019269888183,78.06977265454594,332.0276600681123,9.997875324003799,234.78468110955424,123.67184674265755,109.3880007347479,1012.2408144793035,85.42580244007614,107.82470069054547,13420.593833738563,13266.738418962832,6200.110000000001,2005
3,London,386.3817357043475,186.0857186210723,80.67240126540604,2906.6116253525634,1885.569871096284,52.50487927364926,92.57949418961933,768.5723957203122,52.375928491268404,73.74816968822988,686.6586586478314,1309.8434583565017,106.1896328328302,158.5352281559348,8560.243478774777,8359.947461691501,7101.71,2005
3,South East,334.1061862518806,189.47728565634694,65.79105924896487,7129.809197011779,3771.891039042824,68.17551847691671,195.1138174756405,12.768689142572722,206.30685375441536,58.97878242625028,48.285302643864576,1126.7282782845377,90.48483029743856,96.5789859014708,13205.018539958546,13060.389639363013,8288.28,2005
