year,Borough,n_counters,borough_mean,change_tfl_cycles,borough_mean_2015,borough_change_2015,count_relative_to_2015,change_relative_to_2015
2015,Barking and Dagenham,12,80.135,1.0508130081300813,80.135,1.0508130081300813,1,1
2015,Barnet,20,90.21000000000001,0.9356612327577891,90.21000000000001,0.9356612327577891,1,1
2015,Bexley,20,41.2455,1.010711030082042,41.2455,1.010711030082042,1,1
2015,Brent,25,140.43,0.9684453565931246,140.43,0.9684453565931246,1,1
2015,Bromley,33,82.00909090909092,1.2549594617905813,82.00909090909092,1.2549594617905813,1,1
2015,Camden,73,1025.888196347032,0.986530319675358,1025.888196347032,0.986530319675358,1,1
2015,City of London,34,2232.0949019607842,0.8483387382284574,2232.0949019607842,0.8483387382284574,1,1
2015,Croydon,24,78.23625,0.9327358403400166,78.23625,0.9327358403400166,1,1
2015,Ealing,36,196.695,0.9821221267703738,196.695,0.9821221267703738,1,1
2015,Enfield,20,81.88650000000001,1.1914749661705004,81.88650000000001,1.1914749661705004,1,1
2015,Greenwich,24,85.715,0.895256597053586,85.715,0.895256597053586,1,1
2015,Hackney,53,765.662641509434,1.0119209073843876,765.662641509434,1.0119209073843876,1,1
2015,Hammersmith and Fulham,43,690.8386046511629,0.955742097444283,690.8386046511629,0.955742097444283,1,1
2015,Haringey,23,268.9317391304348,0.9942298493183449,268.9317391304348,0.9942298493183449,1,1
2015,Harrow,18,41.79833333333333,1.0870733673743616,41.79833333333333,1.0870733673743616,1,1
2015,Havering,18,64.37666666666667,0.9887319473099508,64.37666666666667,0.9887319473099508,1,1
2015,Hillingdon,35,82.90285714285714,1.021209740769835,82.90285714285714,1.021209740769835,1,1
2015,Hounslow,20,265.93350000000004,1.0048141120247382,265.93350000000004,1.0048141120247382,1,1
2015,Islington,63,1152.0067724867724,1.0003880803704732,1152.0067724867724,1.0003880803704732,1,1
2015,Kensington and Chelsea,48,733.03375,1.0170553138411622,733.03375,1.0170553138411622,1,1
2015,Kingston upon Thames,15,269.142,0.8937247797084741,269.142,0.8937247797084741,1,1
2015,Lambeth,89,743.2924906367042,1.0140058623191197,743.2924906367042,1.0140058623191197,1,1
2015,Lewisham,36,291.68416666666667,1.0134683307976429,291.68416666666667,1.0134683307976429,1,1
2015,Merton,37,200.4275675675676,1.0374437303218755,200.4275675675676,1.0374437303218755,1,1
2015,Newham,23,167.44043478260872,0.7888971442723514,167.44043478260872,0.7888971442723514,1,1
2015,Redbridge,18,74.09,1.0835726159891188,74.09,1.0835726159891188,1,1
2015,Richmond upon Thames,29,412.11827586206897,1.118918260021593,412.11827586206897,1.118918260021593,1,1
2015,Southwark,78,886.3342414529915,0.9105445808510835,886.3342414529915,0.9105445808510835,1,1
2015,Sutton,20,95.5575,0.9766181921870544,95.5575,0.9766181921870544,1,1
2015,Tower Hamlets,57,572.8018421052632,0.9635813637731967,572.8018421052632,0.9635813637731967,1,1
2015,Waltham Forest,20,238.638,0.9347309370076589,238.638,0.9347309370076589,1,1
2015,Wandsworth,73,484.6064383561644,1.028680217802531,484.6064383561644,1.028680217802531,1,1
2015,Westminster,111,1085.5248348348348,0.9613127643478486,1085.5248348348348,0.9613127643478486,1,1
2016,Barking and Dagenham,12,79.36,1.0406504065040652,80.135,1.0508130081300813,0.990328820116054,0.9903288201160543
2016,Barnet,20,99.60300000000001,1.0330857528696826,90.21000000000001,0.9356612327577891,1.1041237113402063,1.1041237113402063
2016,Bexley,20,39.292500000000004,0.9628532360984503,41.2455,1.010711030082042,0.9526493799323563,0.9526493799323561
2016,Brent,25,139.46280000000002,0.9617752693689071,140.43,0.9684453565931246,0.993112582781457,0.9931125827814571
2016,Bromley,33,53.010000000000005,0.8111954459203036,82.00909090909092,1.2549594617905813,0.6463917525773196,0.6463917525773196
2016,Camden,73,1056.5219520547946,1.0159888210197021,1025.888196347032,0.986530319675358,1.0298607156382567,1.0298607156382564
2016,City of London,34,2509.1046078431373,0.9536201329213253,2232.0949019607842,0.8483387382284574,1.124103014454723,1.1241030144547233
2016,Croydon,24,84.32000000000001,1.0052665619513999,78.23625,0.9327358403400166,1.077761267954433,1.077761267954433
2016,Ealing,36,196.85,0.9828960606764182,196.695,0.9821221267703738,1.000788022064618,1.0007880220646177
2016,Enfield,20,59.52,0.8660351826792962,81.88650000000001,1.1914749661705004,0.7268597387847813,0.7268597387847815
2016,Greenwich,24,89.39625000000001,0.9337056823700827,85.715,0.895256597053586,1.0429475587703436,1.0429475587703436
2016,Hackney,53,741.1106132075472,0.9794722682443174,765.662641509434,1.0119209073843876,0.9679336211918546,0.9679336211918544
2016,Hammersmith and Fulham,43,749.5151162790698,1.036918238899619,690.8386046511629,0.955742097444283,1.0849351950410118,1.084935195041012
2016,Haringey,23,263.0686956521739,0.9725544128198995,268.9317391304348,0.9942298493183449,0.9781987671026914,0.9781987671026913
2016,Harrow,18,34.66833333333334,0.9016393442622949,41.79833333333333,1.0870733673743616,0.8294190358467245,0.8294190358467243
2016,Havering,18,62.36166666666667,0.9577844786541818,64.37666666666667,0.9887319473099508,0.9686998394863564,0.9686998394863562
2016,Hillingdon,35,79.63457142857143,0.9809505106048703,82.90285714285714,1.021209740769835,0.9605769230769231,0.9605769230769229
2016,Hounslow,20,240.312,0.9080047789725209,265.93350000000004,1.0048141120247382,0.9036544850498338,0.9036544850498338
2016,Islington,63,1144.926798941799,0.9942399210775893,1152.0067724867724,1.0003880803704732,0.9938542257614594,0.9938542257614594
2016,Kensington and Chelsea,48,705.36625,0.9786677527013096,733.03375,1.0170553138411622,0.962256171697415,0.9622561716974148
