count_point_id,name,local_authority_name
10630,Vale of Glamorgan,The Vale of Glamorgan
10632,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
10650,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
10654,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
10663,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
10664,Vale of Glamorgan,The Vale of Glamorgan
10723,Perth and Kinross,Perth & Kinross
10740,Dumfries and Galloway,Dumfries & Galloway
10744,Dumfries and Galloway,Dumfries & Galloway
10745,Dumfries and Galloway,Dumfries & Galloway
10748,Dumfries and Galloway,Dumfries & Galloway
10762,Argyll and Bute,Argyll & Bute
10765,Argyll and Bute,Argyll & Bute
10768,Perth and Kinross,Perth & Kinross
10804,Perth and Kinross,Perth & Kinross
10838,Dumfries and Galloway,Dumfries & Galloway
10844,Argyll and Bute,Argyll & Bute
10846,Perth and Kinross,Perth & Kinross
10851,Perth and Kinross,Perth & Kinross
10861,Perth and Kinross,Perth & Kinross
10862,Perth and Kinross,Perth & Kinross
10864,Perth and Kinross,Perth & Kinross
10875,Dumfries and Galloway,Dumfries & Galloway
10876,Dumfries and Galloway,Dumfries & Galloway
10881,Dumfries and Galloway,Dumfries & Galloway
10882,Dumfries and Galloway,Dumfries & Galloway
10883,Dumfries and Galloway,Dumfries & Galloway
10884,Dumfries and Galloway,Dumfries & Galloway
10886,Dumfries and Galloway,Dumfries & Galloway
10888,Dumfries and Galloway,Dumfries & Galloway
10907,Dumfries and Galloway,Dumfries & Galloway
10908,Dumfries and Galloway,Dumfries & Galloway
10910,Dumfries and Galloway,Dumfries & Galloway
10912,Dumfries and Galloway,Dumfries & Galloway
10922,Argyll and Bute,Argyll & Bute
10925,Argyll and Bute,Argyll & Bute
10927,Perth and Kinross,Perth & Kinross
10930,Perth and Kinross,Perth & Kinross
10940,Argyll and Bute,Argyll & Bute
10941,Argyll and Bute,Argyll & Bute
10942,Argyll and Bute,Argyll & Bute
10946,Na h-Eileanan Siar,Comhairle nan Eilean Siar
10947,Na h-Eileanan Siar,Comhairle nan Eilean Siar
10948,Na h-Eileanan Siar,Comhairle nan Eilean Siar
10953,Na h-Eileanan Siar,Comhairle nan Eilean Siar
10957,Argyll and Bute,Argyll & Bute
10971,Perth and Kinross,Perth & Kinross
10972,Perth and Kinross,Perth & Kinross
10977,Perth and Kinross,Perth & Kinross
10978,Perth and Kinross,Perth & Kinross
10979,Perth and Kinross,Perth & Kinross
16073,Central Bedfordshire,Bedfordshire
16137,Central Bedfordshire,Bedfordshire
16165,Bedford,Bedfordshire
16166,Central Bedfordshire,Bedfordshire
16302,Cornwall,Cornwall excluding Isles of Scilly
16304,Cornwall,Cornwall excluding Isles of Scilly
16305,Cornwall,Cornwall excluding Isles of Scilly
16307,Cornwall,Cornwall excluding Isles of Scilly
16324,Cheshire East,Cheshire
16324,Cheshire East,East Cheshire
16343,"Bournemouth, Christchurch and Poole",Bournemouth
16386,Cornwall,Cornwall excluding Isles of Scilly
16387,Cornwall,Cornwall excluding Isles of Scilly
16388,Cornwall,Cornwall excluding Isles of Scilly
16395,Cornwall,Cornwall excluding Isles of Scilly
16398,Cornwall,Cornwall excluding Isles of Scilly
16416,Cheshire West and Chester,Cheshire
16416,Cheshire West and Chester,West Cheshire
16417,Cheshire West and Chester,Cheshire
16417,Cheshire West and Chester,West Cheshire
16492,Cheshire West and Chester,Cheshire
16492,Cheshire West and Chester,West Cheshire
16499,Cheshire East,Cheshire
16499,Cheshire East,East Cheshire
16500,Cheshire East,Cheshire
16500,Cheshire East,East Cheshire
16510,Cheshire East,Cheshire
16510,Cheshire East,East Cheshire
16529,Cheshire West and Chester,Cheshire
16529,Cheshire West and Chester,West Cheshire
16530,Cheshire West and Chester,Cheshire
16531,Cheshire East,Cheshire
16531,Cheshire East,East Cheshire
16532,Cheshire West and Chester,Cheshire
16532,Cheshire West and Chester,West Cheshire
16605,County Durham,Durham
16606,County Durham,Durham
16702,County Durham,Durham
16716,County Durham,Durham
16718,County Durham,Durham
16899,"Bournemouth, Christchurch and Poole",Dorset
16904,"Bournemouth, Christchurch and Poole",Bournemouth
16916,"Bournemouth, Christchurch and Poole",Poole
16990,Cornwall,Cornwall excluding Isles of Scilly
16992,Cornwall,Cornwall excluding Isles of Scilly
16993,Cornwall,Cornwall excluding Isles of Scilly
16995,Cornwall,Cornwall excluding Isles of Scilly
16996,Cornwall,Cornwall excluding Isles of Scilly
16998,Cornwall,Cornwall excluding Isles of Scilly
17001,Cornwall,Cornwall excluding Isles of Scilly
17003,Cornwall,Cornwall excluding Isles of Scilly
17045,Central Bedfordshire,Bedfordshire
17046,Central Bedfordshire,Bedfordshire
17082,Bedford,Bedfordshire
17162,Cheshire West and Chester,Cheshire
17162,Cheshire West and Chester,West Cheshire
17206,Cheshire West and Chester,Cheshire
17206,Cheshire West and Chester,West Cheshire
17207,Cheshire East,Cheshire
17207,Cheshire East,East Cheshire
17209,Cheshire West and Chester,Cheshire
17209,Cheshire West and Chester,West Cheshire
17211,Cheshire East,Cheshire
17211,Cheshire East,East Cheshire
17212,Cheshire East,Cheshire
17213,Cheshire East,Cheshire
17213,Cheshire East,East Cheshire
17214,Cheshire East,Cheshire
17214,Cheshire East,East Cheshire
17215,Cheshire West and Chester,Cheshire
17215,Cheshire West and Chester,West Cheshire
17217,Cheshire West and Chester,Cheshire
17217,Cheshire West and Chester,West Cheshire
17224,Cheshire East,Cheshire
17224,Cheshire East,East Cheshire
17225,Cheshire West and Chester,Cheshire
17225,Cheshire West and Chester,West Cheshire
17275,Bedford,Bedfordshire
17409,County Durham,Durham
17410,County Durham,Durham
17413,County Durham,Durham
17415,County Durham,Durham
17416,County Durham,Durham
17418,County Durham,Durham
17540,Cornwall,Cornwall excluding Isles of Scilly
17550,Cornwall,Cornwall excluding Isles of Scilly
17556,Cornwall,Cornwall excluding Isles of Scilly
17561,Cornwall,Cornwall excluding Isles of Scilly
17649,Cheshire East,Cheshire
17649,Cheshire East,East Cheshire
17652,Cheshire East,Cheshire
17652,Cheshire East,East Cheshire
17654,Cheshire West and Chester,Cheshire
17654,Cheshire West and Chester,West Cheshire
17678,Cheshire West and Chester,Cheshire
17678,Cheshire West and Chester,West Cheshire
17679,Central Bedfordshire,Bedfordshire
17696,Central Bedfordshire,Bedfordshire
17801,Cheshire West and Chester,Cheshire
17801,Cheshire West and Chester,West Cheshire
17851,Cornwall,Cornwall excluding Isles of Scilly
17944,Bedford,Bedfordshire
18030,"Bournemouth, Christchurch and Poole",Bournemouth
18035,Cornwall,Cornwall excluding Isles of Scilly
18136,Central Bedfordshire,Bedfordshire
18165,Central Bedfordshire,Bedfordshire
18204,Cheshire West and Chester,Cheshire
18204,Cheshire West and Chester,West Cheshire
18240,County Durham,Durham
18307,Cornwall,Cornwall excluding Isles of Scilly
18310,County Durham,Durham
18378,Central Bedfordshire,Bedfordshire
18435,Bedford,Bedfordshire
18485,County Durham,Durham
18541,County Durham,Durham
18617,Cornwall,Cornwall excluding Isles of Scilly
18636,Cheshire East,Cheshire
18636,Cheshire East,East Cheshire
18658,Central Bedfordshire,Bedfordshire
18697,Central Bedfordshire,Bedfordshire
18698,Central Bedfordshire,Bedfordshire
18713,Cheshire East,Cheshire
18713,Cheshire East,East Cheshire
18714,Cheshire East,Cheshire
18714,Cheshire East,East Cheshire
