year,local_authority_name,sum_cycles,change_cycles,mean_cycles,n_cycles,cycling_2011,multiplier
2010,Camden,243640,1.1754489506024117,1431.4145555555556,25,NA,1.317981111089885
2010,Cardiff,44599,0.6031024198124857,67.71694925444926,66,NA,0.7252546198929011
2010,Carmarthenshire,1950,0.984200656226448,7.989367816091954,29,NA,0.9913914368690014
2010,Central Bedfordshire,8092,0.9767206448341796,25.2425,40,NA,0.9980401650396151
2010,Ceredigion,461,1.457752816930561,9.541269841269841,7,NA,1.6575204143854259
2010,City of Edinburgh,25729,0.7768570576295066,110.669708994709,30,NA,0.882068607881953
2010,City of London,288605,0.8362779344034864,3583.566017316017,11,NA,1.262035839145398
2010,Clackmannanshire,1064,0.4232810351267983,25.69611111111111,5,NA,0.29290594818045657
2010,Comhairle nan Eilean Siar,295,2.5142857142857142,16.625,2,NA,NA
2010,Conwy,1968,0.5719978093302442,15.966666666666667,18,NA,1.0206463265821544
2010,Cornwall excluding Isles of Scilly,9445,1.1482768946023283,21.47930996472663,72,NA,0.96342742149063465
2010,Coventry,27438,0.8182511094035978,61.36688034188034,52,NA,0.8055490111918374
2010,Croydon,20504,0.8718509326486212,76.43238795518208,34,NA,0.9995369402902544
2010,Cumbria,19538,1.054201057920577,46.64463601532567,58,NA,1.0959240084891346
2010,Darlington,6627,0.7348822425566264,54.34285714285714,14,NA,0.8958606412763958
2010,Denbighshire,1983,0.819730168085587,22.35451388888889,16,NA,1.1956760359843077
2010,Derby,24609,0.9219904677841304,63.691295721187025,46,NA,0.8959891597996161
2010,Derbyshire,32013,1.033144640071872,35.902734375,128,NA,0.9688929491990957
2010,Devon,20590,0.7983182030303808,33.6621261487051,95,NA,0.6944415571318598
2010,Doncaster,13809,0.9548469683321454,43.63505291005291,42,NA,0.7929553482529378
2010,Dorset,17830,0.9419896727073905,51.9931194511703,59,NA,0.8388082028078812
2010,Dudley,9767,1.1179043127200197,33.73783068783069,42,NA,1.0658598069590663
2010,Dumfries & Galloway,2181,0.8908633554118046,14.096428571428572,14,NA,1.2535374346023844
2010,Dundee City,4828,0.8375669648425214,39.868467643467646,13,NA,1.0100800246632162
2010,Durham,10753,0.8198069909597482,20.9897586431833,73,NA,0.7159504207036904
2010,Ealing,35414,0.8192989711276139,137.572268009768,26,NA,1.2427892169786063
2010,East Ayrshire,665,0.7085322726694835,8.327813852813852,11,NA,1.0099081985653597
2010,East Cheshire,15960,0.8899029554485115,36.13506493506493,55,NA,0.8577987399652162
2010,East Dunbartonshire,1369,0.704630502984174,24.369444444444444,7,NA,1.327987413800327
2010,East Lothian,1447,0.2521509458516957,12.31550925925926,12,NA,0.7462770698451342
2010,East Renfrewshire,1348,0.6285327144377935,24.924444444444443,5,NA,1.0667240530933928
2010,East Riding of Yorkshire,12946,0.7943751279053491,32.98453282828283,44,NA,0.8392541854039622
2010,East Sussex,21755,0.8811741171118503,31.486882716049383,90,NA,0.8157511097207593
2010,Enfield,12522,1.2858199325912347,79.85654761904762,22,NA,2.285098653411181
2010,Essex,64587,0.8101315461765667,33.14564350992922,231,NA,0.7319983099596818
2010,Falkirk,2155,0.6856657014560688,20.90740740740741,9,NA,0.5361915415227468
2010,Fife,6043,0.8389273138942571,18.690056022408964,34,NA,1.0329825188541704
2010,Flintshire,7501,1.1388569610869892,30.1546768707483,28,NA,0.9662662475457425
2010,Gateshead,14856,0.7421073454261606,39.59281045751634,51,NA,0.7860781424080749
2010,Gloucestershire,30642,0.999262193172574,35.171604380148686,79,NA,0.9623844583297879
2010,Greenwich,31243,1.5877041720495932,92.77080026455026,36,NA,2.1734498119613845
2010,Gwynedd,1739,0.9491624062212297,8.44848484848485,11,NA,0.7602193464509265
2010,Hackney,173826,1.7040161174219137,902.770790200138,23,NA,2.048765929327985
2010,Halton,5749,1.0180737164893725,44.568134920634925,20,NA,1.0983577630215784
2010,Hammersmith and Fulham,91848,1.203956335204894,892.2262838468721,17,NA,1.753801802237789
2010,Hampshire,113446,0.9294125558661785,49.65666768853464,233,NA,0.8592007058305233
2010,Haringey,36370,0.7501330446506894,273.06428571428575,14,NA,0.7748917309140785
2010,Harrow,6348,1.3290966589324533,65.41919191919192,11,NA,1.0250926512103482
2010,Hartlepool,4689,0.8840334514678893,35.07592592592593,15,NA,0.8998593492981877
2010,Havering,9128,1.578215495938059,40.01687301587302,25,NA,2.3249262922377634
2010,"Herefordshire, County of",6751,1.0998773890477018,36.74118357487923,23,NA,0.9364337740741774
2010,Hertfordshire,57082,1.0068727412701413,40.805587217156365,188,NA,1.0078170650275633
2010,Highland,6259,0.7504261226388094,17.445545314900155,31,NA,0.9673045276455252
2010,Hillingdon,22935,0.7851710880630025,59.81995924495924,37,NA,0.8689745988699733
2010,Hounslow,50525,0.6132008985379754,209.80860215053764,31,NA,1.1460580841117922
2010,Inverclyde,1141,0.781654989420477,16.26909722222222,8,NA,0.940403788601997
2010,Isle of Anglesey,1385,0.761939665034975,12.772222222222222,12,NA,1.1546149732659081
2010,Isle of Wight,5529,1.00402926769894,46.62859477124183,17,NA,0.9511696037798673
2010,Islington,278354,1.0191092931097658,1686.3569444444445,20,NA,1.1716762760705153
2010,Kensington and Chelsea,185484,1.0932092266238147,1132.2055839002267,28,NA,1.3271404428988125
2010,Kent,52948,0.9678198138722148,35.40184464875059,202,NA,0.9335958770649824
2010,"Kingston upon Hull, City of",43679,0.7039535315029353,152.60444444444445,30,NA,0.6080600204492883
2010,Kingston upon Thames,31877,1.254647056111129,163.6845238095238,25,NA,1.5227487160114315
2010,Kirklees,6616,0.7327587692688021,25.663888888888888,30,NA,0.6803496345095926
2010,Knowsley,6170,0.8230609284497012,42.237387853692205,23,NA,0.8611966744220387
2010,Lambeth,364188,1.009082894253606,1626.5084201388888,32,NA,1.2820207776048391
2010,Lancashire,58323,0.9225709544677341,51.00850103930461,168,NA,0.9258498769864943
2010,Leeds,46370,0.7755030225381726,56.60214682539682,100,NA,0.8950745954133634
2010,Leicester,37402,0.9092314447244081,134.80040726817043,38,NA,0.9947645001978797
2010,Leicestershire,37958,0.9642648742515558,49.253847117794486,95,NA,0.9423644294929544
2010,Lewisham,83759,1.0231762510896798,385.22463369963367,26,NA,1.3243179784706571
2010,Lincolnshire,24254,0.8854311159454612,34.22917658730159,80,NA,0.7961045629795679
2010,Liverpool,39860,0.7446526119979664,78.18031172308281,83,NA,0.9531972151016487
2010,Luton,5474,0.7081882381126529,27.06998746867168,19,NA,0.8271190625339776
2010,Manchester,88992,0.7566733558300404,191.04039567517827,69,NA,0.7927625567785425
2010,Medway,7981,0.8256861762920722,32.17991452991453,26,NA,0.9657941591395341
2010,Merthyr Tydfil,443,1.1092736291458578,6.625925925925926,9,NA,0.8183547776379835
2010,Merton,22397,1.1347559639761111,149.89132275132275,15,NA,1.5047346695163037
2010,Middlesbrough,10082,1.3798048495490933,28.077579365079366,30,NA,1.4640095743581265
2010,Midlothian,3156,0.7209913057327156,44.65957671957672,15,NA,1.0338354003455483
2010,Milton Keynes,16924,0.7024176440691766,45.00933806146572,47,NA,0.7091952396752637
2010,Monmouthshire,2650,0.7295861147694266,23.272058823529413,17,NA,0.6911257711336963
2010,Moray,1027,1.2381618815294932,15.384018759018758,11,NA,1.2104066801303428
2010,Neath Port Talbot,4774,0.8109837933363899,33.97326388888889,16,NA,0.6257661485867875
2010,Newcastle upon Tyne,24844,1.1077862817994253,66.51902173913044,46,NA,0.9734546241718346
2010,Newham,31439,1.1415233339442046,173.808024691358,18,NA,1.4051622209548642
2010,Newport,10613,0.7247817574934583,48.120726495726494,26,NA,0.7260268380845599
2010,Norfolk,55363,1.084381421330261,56.01673773987207,134,NA,0.8380559776443931
2010,North Ayrshire,816,1.144882632613085,11.618452380952382,8,NA,0.9321418992488302
2010,North East Lincolnshire,24823,0.9823008872819572,126.09362139917695,27,NA,0.9770310144933728
2010,North Lincolnshire,6322,0.9254845204202479,32.457556935817806,23,NA,0.8830678493701684
2010,North Somerset,13679,0.9086985800910409,67.06631944444445,32,NA,0.8874809666933218
2010,North Tyneside,20113,0.8203839042997254,85.865625,32,NA,0.7379919860765171
2010,North Yorkshire,18607,0.9119755858944585,34.40897435897436,78,NA,0.9045489739656134
2010,Northamptonshire,30063,0.980473415638252,32.594564176245214,116,NA,0.7739947700455169
2010,Northumberland,8157,0.8964205703230729,24.899780701754388,38,NA,0.8117865031767315
2010,Nottingham,56143,0.8620408868867865,164.35520634920636,50,NA,0.8957003914029387
2010,Nottinghamshire,33752,0.9777761542478391,44.81197589098532,106,NA,0.8932105582896569
2010,Oldham,7761,0.8650814453987904,47.12967171717172,22,NA,1.0771910479660485
2010,Orkney Islands,296,0.2583732057416268,8.077777777777778,4,NA,0.13196711295756455
2010,Oxfordshire,64052,1.0853346854145516,77.76061980347694,105,NA,1.0844191406758126
2010,Pembrokeshire,1672,0.7271028224921637,11.319298245614036,19,NA,0.9566698780743441
2010,Perth & Kinross,1775,1.0645497258138559,12.711965811965813,13,NA,2.102962867429684
2010,Peterborough,25404,1.0535390865127892,68.20511695906433,38,NA,0.9478024875470079
2010,Plymouth,23767,0.925197913599246,89.0155112044818,34,NA,0.8038652653229351
2010,Poole,26097,0.8700834935955247,127.87820512820512,26,NA,0.7037914415322762
2010,Portsmouth,51079,0.9986590058232746,300.98849206349206,28,NA,0.8840706804256356
2010,Powys,1018,0.7543066081804738,8.798391812865496,19,NA,0.44061034823329387
2010,Reading,20971,0.7331380896803376,150.14125,20,NA,0.8295069959536547
2010,Redbridge,16704,1.5635651736359737,120.04477124183006,17,NA,3.7274747744141448
2010,Redcar and Cleveland,5738,0.9296049249047355,39.69567901234568,18,NA,0.7367341309539742
