year,Borough,n_counters,total_counts,mean_counts,mean_counts_2015,relative_to_2015
2015,Barking & Dagenham,12,1350,0.87890625,0.87890625,1
2015,Barnet,20,2406,0.93984375,0.93984375,1
2015,Bexley,20,1107,0.432421875,0.432421875,1
2015,Brent,25,4674,1.460625,1.460625,1
2015,Bromley,33,3625,0.8581912878787878,0.8581912878787878,1
2015,Camden,73,282368,12.955037621581942,12.955037621581942,1
2015,City of London,34,353454,21.058984747378457,21.058984747378457,1
2015,Croydon,24,2541,0.8271484375,0.8271484375,1
2015,Ealing,36,9452,2.0512152777777777,2.0512152777777777,1
2015,Enfield,20,2183,0.852734375,0.852734375,1
2015,Greenwich,24,2761,0.8987630208333334,0.8987630208333334,1
2015,Hackney,53,57987,8.089704241071429,8.089704241071429,1
2015,Hammersmith & Fulham,43,39711,7.214934593023256,7.214934593023256,1
2015,Haringey,23,8699,2.9548233695652173,2.9548233695652173,1
2015,Harrow,18,952,0.4131944444444444,0.4131944444444444,1
2015,Havering,18,1576,0.6840277777777778,0.6840277777777778,1
2015,Hillingdon,35,3940,0.8794642857142857,0.8794642857142857,1
2015,Hounslow,20,7130,2.78515625,2.78515625,1
2015,Islington,63,201482,14.309801136363635,14.309801136363635,1
2015,Kensington & Chelsea,48,46663,7.594889322916666,7.594889322916666,1
2015,Kingston upon Thames,15,5285,2.7526041666666665,2.7526041666666665,1
2015,Lambeth,89,223420,11.047270569620254,11.047270569620254,1
2015,Lewisham,36,14219,3.085720486111111,3.085720486111111,1
2015,Merton,37,9982,2.107685810810811,2.107685810810811,1
2015,Newham,23,5234,1.7778532608695652,1.7778532608695652,1
2015,Redbridge,18,1833,0.7955729166666666,0.7955729166666666,1
2015,Richmond upon Thames,29,15772,4.248922413793103,4.248922413793103,1
2015,Southwark,78,251724,13.023799668874172,13.023799668874172,1
2015,Sutton,20,2446,0.95546875,0.95546875,1
2015,Tower Hamlets,57,46030,5.993489583333333,5.993489583333333,1
2015,Waltham Forest,20,6498,2.53828125,2.53828125,1
2015,Wandsworth,73,49027,5.246896404109589,5.246896404109589,1
2015,Westminster,111,478248,12.091626213592233,12.091626213592233,1
2016,Barking & Dagenham,12,1279,0.8326822916666666,0.87890625,0.9474074074074074
2016,Barnet,20,2637,1.030078125,0.93984375,1.0960099750623442
2016,Bexley,20,1067,0.416796875,0.432421875,0.96386630532972
2016,Brent,25,4567,1.4271875,1.460625,0.9771074026529739
2016,Bromley,33,2451,0.5802556818181818,0.8581912878787878,0.6761379310344827
2016,Camden,73,301954,13.55756106321839,12.955037621581942,1.0465088145041508
2016,City of London,34,408052,23.61412037037037,21.058984747378457,1.121332326968421
2016,Croydon,24,2673,0.8701171875,0.8271484375,1.051948051948052
2016,Ealing,36,9391,2.0379774305555554,2.0512152777777777,0.9935463393990689
2016,Enfield,20,1588,0.6203125,0.852734375,0.7274393037104901
2016,Greenwich,24,2891,0.9410807291666666,0.8987630208333334,1.0470843897138717
2016,Hackney,53,57358,8.001953125,8.089704241071429,0.9891527411316329
2016,Hammersmith & Fulham,43,43121,7.834484011627906,7.214934593023256,1.085870413739266
2016,Haringey,23,8227,2.794497282608696,2.9548233695652173,0.9457408897574434
2016,Harrow,18,785,0.3407118055555556,0.4131944444444444,0.8245798319327732
2016,Havering,18,1510,0.6553819444444444,0.6840277777777778,0.9581218274111675
2016,Hillingdon,35,3690,0.8236607142857143,0.8794642857142857,0.9365482233502539
2016,Hounslow,20,6333,2.473828125,2.78515625,0.8882187938288919
2016,Islington,63,195615,13.893110795454545,14.309801136363635,0.9708807734685977
2016,Kensington & Chelsea,48,44569,7.254069010416666,7.594889322916666,0.9551250455392923
2016,Kingston upon Thames,15,5403,2.8140625,2.7526041666666665,1.0223273415326395
2016,Lambeth,89,220662,10.980394108280255,11.047270569620254,0.9939463362539604
2016,Lewisham,34,11250,2.585018382352941,3.085720486111111,0.8377357553894333
2016,Merton,38,10176,2.0921052631578947,2.107685810810811,0.9926077465754146
2016,Newham,22,4816,1.7102272727272727,1.7778532608695652,0.9619619967346371
2016,Redbridge,18,1570,0.6814236111111112,0.7955729166666666,0.8565193671576651
2016,Richmond upon Thames,29,14000,3.771551724137931,4.248922413793103,0.8876489982247021
2016,Southwark,78,269859,13.962075745033113,13.023799668874172,1.0720431901606522
2016,Sutton,20,2542,0.99296875,0.95546875,1.0392477514309075
2016,Tower Hamlets,57,44578,5.804427083333334,5.993489583333333,0.9684553552031285
2016,Waltham Forest,20,6573,2.567578125,2.53828125,1.0115420129270545
2016,Wandsworth,72,46622,5.058810763888888,5.246896404109589,0.9641529723984289
2016,Westminster,111,487109,12.355646306818182,12.091626213592233,1.0218349532612216
2017,Barking & Dagenham,12,1186,0.7721354166666666,0.87890625,0.8785185185185185
2017,Barnet,19,2471,1.0160361842105263,0.93984375,1.0810692566828544
2017,Bexley,20,1168,0.45625,0.432421875,1.055103884372177
2017,Brent,25,5137,1.6053125,1.460625,1.0990586221651688
2017,Bromley,33,3058,0.7239583333333334,0.8581912878787878,0.8435862068965518
2017,Camden,73,283968,12.823699421965317,12.955037621581942,0.9898619978225438
2017,City of London,34,416504,24.28311567164179,21.058984747378457,1.1531000170682346
2017,Croydon,24,2874,0.935546875,0.8271484375,1.1310507674144037
2017,Ealing,36,9677,2.1000434027777777,2.0512152777777777,1.0238044858231061
2017,Enfield,20,1971,0.769921875,0.852734375,0.9028859367842418
2017,Greenwich,24,3456,1.125,0.8987630208333334,1.2517203911626222
2017,Hackney,52,56831,8.072585227272727,8.089704241071429,0.9978838517097092
